Coefficient of current liquidity;Quick liquidity ratio;Absolute liquidity ratio;Receivables  turnover ratio;Turnover ratio of funds;Ratio of own and borrowed funds;Ratio of own working capital;Coefficient of autonomy;Degree of solvency in current liabilities;Return on net assets by net profit;Profitability;Profitability of sales;Failure
1,161944985;0,013764223;0,000109655;2,997848249;0,577162612;453,3202338;0,002104785;0,002201089;12,41714625;-0,014290354;-0,013965573;0,046991704;0
1,00255069;1,002460037;0,835813891;5,177647829;0,580214182;350,552253;0,002544201;0,002844527;23,6802502;0,377391304;0,471699605;0,001634047;0
1,002636775;0,598407088;0,036872663;1,278802682;0,864547213;46,70216957;0,002594324;0,020963407;15,95879164;-0,396254413;-0,34321752;0,084327053;0
0,992236353;0,944394544;0,034560214;3,505491653;2,992553262;5797,841099;-0,007824392;0,000172448;5,169527993;51,04201454;72,29841099;0,008782181;0
1,079786341;1,037247735;0,406640274;3,149206849;1,997373823;8,39679966;0,073247478;0,10641921;6,212656998;0,804987743;0,964927519;0,062478712;0
8,092521493;7,057475956;1,551736014;1,030871367;0,712897831;0,111047921;0,87642912;0,900051187;2,040286272;0,010217661;0,012687974;-0,027343309;0
1,114660644;0,443115848;0,043414936;3,451458609;1,45024645;15,43422737;0,045815336;0,060848617;7,983067085;0,274632375;0,389098919;0,145866256;0
16,49282297;3,84362236;3,25670051;18,6471767;0,955708658;1,333253833;0,31438673;0,428586031;0,534703818;0,578702833;0,724660481;0,337650474;0
1,497252608;1,497237559;1,379702593;53,27911452;4,446083179;11,27986636;-1,986330491;0,081434111;3,572074927;1,055898293;1,064796272;0,082523815;0
0,910541644;0,77178799;0,027890095;0,402031657;0,308170087;-2701,338955;-0,098247575;-0,000370324;49,27020771;1,944895344;2,341423283;0,00869756;1
0,342644561;0,341066093;0,01542591;0,319095351;0,209682634;2,721859291;-2,03956949;0,268682931;122,0329735;0,173938831;0,004403642;-3,156749313;1
1,188825097;0,298895229;0,183041979;10,1328419;2,619691488;4,973427562;0,158833821;0,167408148;6,15509094;0,063668245;0,079727982;0,047774641;0
1,129387064;1,125059609;0,256222521;13,84512804;6,332490385;7,544317203;0,114560995;0,117036853;1,665148132;1,15945051;1,468016215;0,024598022;1
0,56973855;0,561413206;0,044691214;0,924687233;0,826970093;-2,140442061;-1,188777663;-0,876852963;24,5103989;0,458217571;0,554512531;-0,146418108;0
1,311170904;1,292620528;0,772166105;42,51105595;14,47778184;2,50060052;0,237322917;0,285665272;0,842161092;0,714722535;0,867579293;0,018734675;0
1,523018102;1,138384871;0,57356299;5,190317905;1,940565975;5,067673272;0,142977258;0,164807819;4,63211056;0,222705509;0,287226225;0,029211397;0
2,000714026;1,654067386;0,507814456;1,656947481;0,9684361;0,80378997;0,461730084;0,55438827;5,188962585;0,069425453;0,088400781;0,017397262;0
3,840945802;3,570304253;3,032222271;3,084195532;0,96893892;0,25497403;0,737083291;0,796829238;2,857877161;0,084357064;0,112465755;0,118709309;0
0,974069269;0,963611722;0,332600487;2,823919934;2,059694079;1,323637189;-0,026621034;0,430359785;8,735584885;0,976553852;1,221573155;0,069828351;0
1,210314476;0,836894882;0,123227325;7,082909897;4,15510173;4,733812086;0,173768454;0,174404041;2,480652009;0,216360749;0,270448681;-0,027198913;0
0,797066301;0,176469617;0,02163872;4,432485957;0,58931222;-8,426435972;-0,255831691;-0,134654112;23,09393397;1,408389401;1,726727172;-0,302614283;1
1,011921074;0,997920439;0,0007299;1,099093865;0,914906431;81,75976801;0,011782481;0,012083188;12,63191404;0,174450549;0,218406593;0,007392531;1
0,981219162;0,973567823;0,33586745;1,245783872;0,921790009;12,0264936;-0,019140309;0,076766629;14,73800306;0,113320446;0,154064255;0,031686612;0
1,691784388;1,684898506;0,053038285;0,878700777;0,817139833;85,69435785;-2,777492057;0,011534776;12,03567031;9,508868836;5,154279464;0,069881631;0
1,044396523;0,429472406;0,014614752;4,304086231;1,669594165;20,85126571;-0,363256159;0,045763939;7,255788459;0,372220861;0,459717797;0,079399076;1
0,971752644;0,086287539;0,024512594;18,32682729;1,318082271;212,6295462;-0,029068463;0,004681;9,547303693;0,44619676;0,620963416;-0,089642058;1
0,975698139;0,656730633;0,136651463;4,42165868;2,957062229;16,64021276;-0,503084796;0,056688659;3,173291645;0,013381738;0,050149859;0,066086139;0
0,76673356;0,695358363;0,000272405;2,125138772;1,949411582;2,77540871;-0,304234029;0,264871985;6,310453183;-0,589354456;-0,733854467;0,027987652;0
1,271776328;0,504594073;0,200335918;2,439895276;0,697854066;34,69904333;-7,118943431;0,028011955;14,0535126;-0,73956708;0,158723186;0,101577985;0
0,837743921;0,594715851;0,038329055;3,065677902;1,972125571;-9,632061678;-0,193682192;-0,11584718;10,67980029;1,6417966;2,045261199;-0,153450955;0
2,972058616;1,072734784;0,028667558;2,847821348;1,114632071;0,480971134;0,663532881;0,675232607;3,986055803;0,001340083;0,007528098;0,075085833;1
0,974539747;0,45984804;0,064242961;3,725215955;1,51630276;5,932386724;-0,234305878;0,144250464;5,859461989;0,038074585;0,060479151;0,077528229;0
0,986588672;0,747847187;0,027531772;4,691032507;3,197878565;195,8371418;-0,013593636;0,005080342;5,776397365;-0,73956708;1,24075243;0,003695214;0
1,002867583;0,907045208;0,014003671;5,761929206;4,582317449;267,8779254;0,002852077;0,00371916;3,272942276;0,042808607;0,058810207;0,023572814;0
3,339042592;2,220556992;0,05000035;3,196662583;1,744483912;88,69704573;-0,00914638;0,011148639;2,460500311;0,915355391;1,182118454;0,039077761;0
2,174412247;2,054903967;1,40655038;17,64082621;4,122692492;0,175625915;0,502883516;0,850610715;1,244761718;0,014027034;0,034891351;0,024096187;0
